gff	1	3631	5899
gff	1	5928	8737
gff	1	11649	13714
gff	1	23146	33153
gff	1	33379	37871
gff	1	38752	40944
gff	1	44677	44787
gff	1	45296	47019
gff	1	47485	49286
gff	1	50075	51199
gff	1	52239	54692
gff	1	56624	56740
gff	1	57269	59167
gff	1	61905	63811
gff	1	64166	67625
gff	1	70115	72138
gff	1	72339	74737
gff	1	75583	76758
gff	1	78932	79032
gff	1	83045	84864
gff	1	86515	88213
gff	1	88898	89745
gff	1	91376	95651
gff	1	95987	97407
gff	1	97456	99240
gff	1	99894	101834
blast	1	259374	260418
blast	1	260507	260825
blast	1	260921	261615
blast	1	873205	875841
blast	1	883740	886101
blast	1	886696	886791
blast	1	887014	887137
blast	1	887530	887636
blast	1	1008510	1009466
blast	1	1009502	1011141
blast	1	1215704	1215834
blast	1	2030098	2030208
blast	1	2399952	2400854
blast	1	2400948	2401258
blast	1	2401343	2401452
blast	1	2401544	2401871
blast	1	2402081	2402280
blast	1	2402620	2402900
blast	1	2968404	2968539
blast	1	2968653	2969077
blast	1	2969373	2969496
blast	1	2969982	2970136
blast	1	2970362	2970723
blast	1	2971077	2971524
blast	1	3563448	3563579
blast	1	3563679	3563869
blast	1	3563958	3564286
blast	1	3891530	3891691
blast	1	3896522	3896984
blast	1	4572349	4572932
blast	1	4573032	4573147
blast	1	4573223	4573516
blast	1	4573630	4573787
blast	1	4574534	4574774
blast	1	4575145	4575307
blast	1	4575407	4575835
blast	1	4575914	4576662
blast	1	7767942	7768055
blast	1	7768345	7768463
blast	1	9066568	9067425
blast	1	9067519	9067838
blast	1	9068057	9068246
blast	1	9069235	9069346
blast	1	9069432	9069524
blast	1	9726809	9727162
blast	1	9727376	9727490
blast	1	9727578	9728489
blast	1	9728759	9729136
blast	1	9729600	9729749
blast	1	9729855	9729985
blast	1	9730229	9730370
blast	1	10106146	10106422
blast	1	10107176	10107282
blast	1	10107946	10108096
blast	1	10108971	10109072
blast	1	10109173	10110023
blast	1	10110162	10110361
blast	1	10110453	10110583
blast	1	10110946	10111089
blast	1	10111213	10111738
blast	1	10742582	10742682
blast	1	10743075	10743217
blast	1	10743670	10743768
blast	1	10751547	10751686
blast	1	10751790	10751898
blast	1	10751995	10752095
blast	1	10752226	10752394
blast	1	10752497	10752639
blast	1	10752748	10752950
blast	1	10753079	10753178
blast	1	10753238	10753404
blast	1	10753519	10753918
blast	1	10754100	10754284
blast	1	10754357	10755535
blast	1	10755588	10755727
blast	1	10755817	10756066
blast	1	10756165	10756662
blast	1	11419310	11420357
blast	1	11420684	11420979
blast	1	11582285	11582392
blast	1	12104734	12105120
blast	1	12105547	12105664
blast	1	12105744	12105914
blast	1	12106202	12106437
blast	1	12106546	12106706
blast	1	12106953	12107086
blast	1	12107543	12107677
blast	1	12107766	12108160
blast	1	12108342	12108475
blast	1	12108593	12108796
blast	1	12109038	12109259
blast	1	12109359	12109814
blast	1	12109920	12110094
blast	1	12110413	12110555
blast	1	12110996	12111105
blast	1	12111595	12111709
blast	1	12111971	12112083
blast	1	12112487	12112613
blast	1	12112728	12113036
blast	1	12113501	12113860
blast	1	12114324	12114513
blast	1	12114636	12114911
blast	1	12114995	12115165
blast	1	12115284	12115853
blast	1	12115945	12116135
blast	1	12116257	12116444
blast	1	12116540	12116658
blast	1	12117053	12117157
blast	1	12117281	12117387
blast	1	12117655	12117827
blast	1	12118119	12118387
blast	1	12118474	12118848
blast	1	12119708	12119866
blast	1	12120004	12120151
blast	1	12120416	12120585
blast	1	12120692	12121690
blast	1	12121861	12122895
blast	1	12122996	12123820
blast	1	16782893	16783199
blast	1	16783282	16783604
blast	1	16783691	16783922
blast	1	16784143	16786291
blast	1	17159059	17159522
blast	1	17160770	17160883
blast	1	17162254	17162373
blast	1	17162719	17163286
blast	1	17163535	17163685
blast	1	17163779	17163876
blast	1	17164616	17164734
blast	1	19007717	19007897
blast	1	19008186	19008766
blast	1	19068319	19068572
blast	1	19069263	19069774
blast	1	19970690	19971394
blast	1	19971463	19971641
blast	1	19971845	19971950
blast	1	19972083	19972296
blast	1	19972413	19972569
blast	1	19972656	19972976
blast	1	20081680	20081900
blast	1	20082166	20082545
blast	1	20082921	20083349
blast	1	20286195	20286321
blast	1	20286410	20287268
blast	1	20287497	20287825
blast	1	20287917	20288084
blast	1	20288168	20288398
blast	1	20288977	20289220
blast	1	20289297	20289576
blast	1	20289696	20289948
blast	1	20290034	20290720
blast	1	20290942	20291038
blast	1	20291124	20291230
blast	1	20291455	20291602
blast	1	20291686	20291783
blast	1	20291880	20292007
blast	1	20292086	20292222
blast	1	20292430	20292559
blast	1	20292660	20292775
blast	1	20292858	20293440
blast	1	20293529	20293650
blast	1	20293942	20294054
blast	1	20294148	20294248
blast	1	20294344	20294548
